id,data
140,😢 cada cosa que leo y veo sobre me duele en el alma 😢
141,Que triste caso
142,Justicia
143,"@juventudrd ,@mininteriorrd , @mmujerrd"
144,😢.
145,Asi es RD
146,😢😢
147,😢
148,😭😭😭😭
149,Oyeme pero y que es lo que está pasando en este pais
150,😢
151,Duele 😢😢😢
152,Que demanden la empresa son lo culpables por no mediar si no lo querían despedir lo podían mandar para otro turno
153,Esperemos que le hagan la prueba de violacjon y al “compañero “ para que el ADM coincida y no titubeen mucho para que le den 20
154,El señor tenga misericordia de él culpable
155,Pura casualidad k las camara de una empresa no funciones eso es mentira están guardando al implicado k pague por lok ISO kitarle la vida a esa pobre muchacha yena de vida y sueños
156,Wow que pena Dios mío😢
157,😢😢
158,Que pena ojalá se le haga justicia paz a su alma
159,Kk cc lo mochen
160,😢😢😢
161,Esperemos justicia ante este y muchos casos mas matando sueños gente buena ala sociedad y les rebatan la vida como si fueran moscas por no ofender
162,Que dolor tiene esa madre Dios mío😢
163,Dios sabe bien lo que ha pasado y crean que la justicia de Dios es justa
164,Muy penoso qué descanse en paz condolencias a sus familiares
165,😢😢😢😢😢
166,😂
167,Que pena mi pobre paula
168,😭😭😭😭
169,Waoooo dios mio asta cuando! Será que las Tanta muertes de mujeres vas ah parar🙌🙌🙌🙌🙌🙌
170,"Me pueden decir lo que sea, pero la empresa está involucrada porque eso está raro lo de las cámaras."
171,😢😢😢
172,😢😢😢
173,😢😢😢😢
174,😢😢
175,"Aqui deberia de existir una institucion que se encargue de poner reglas, normas y estandares para las empresas que decidan poner camaras porque tienen a uno bien jarto cuando suceden casos como estos alegar que laa camaras no funcionan, ya tienen a uno jarto con el mismo cuento,si hubiese sido 1 lapicero de la empresa ahi si estan todas las camaras en uso"
176,😢
177,😢😢😢😢😢😢
178,Padre amado
179,@luisabinader @procuraduriagralrd @aliciaortegah @nuriapiera @ntelemicro5 esto no puede quedar así.
180,"Deben entregar a los implicados a la comunidad inmediatamente se tenga la evidencia necesaria, para que no lo tapen y el implicado sea otro, pero el acosad0r también debe pagar aún no sea el implicado directo, ser entregados a la comunidad y de ahí en adelante se resuelve a la antigua, que todo eso de derechos humanos no sirve para nada y no la protegieron cuando lo pedía, así que el pueblo debe tomar sus propias medidas, con un poco de dinero esos viven su vida felices como reyes"
181,😢😢
182,Dios mio hasta cuando Republica Dominicana?
183,Perderse una vida así 😢
184,😢😢😢
185,Hasta cuando Dios mio 😢
186,Pobre muchacha Dios como lloré y de que manera la mataron
187,💔💔💔💔💔💔
188,"Esto rompe el alma, las personas buenas no reciben apoyo en ningún sitio😢"
189,💔
190,Oh dios mío que pena señor líbranos de todo mal ah nuestros hijos padre santo 🙌
191,😢
192,😢
193,😢😢😢😢
194,😢
195,Queremos justicia🔥🔥🔥❤️❤️❤️
196,Está vez el pueblo no se quedará tranquilo
197,"Wow que lamentable , paz a su alma🙌"
198,"Ahora nadie quiere decir quien la acosaba, nadie sabe nada. 🤬🤬🤬🤬🤬🤬🤬🤬"
199,"Ojalá esté caso no quede impune ,y que la empresa también responda por su de apoyo a la joven."
200,💔💔💔
201,😢😢😢😢😢
202,😢😢
203,Pobre chica😢 que tristeza
204,Esperando que se haga justicia y que esa persona que la acosaba no se quedé como que nada @ramon_tolentino1 @ramontolentino83
205,😢
206,😢
207,Hay ombe que pena 😢
208,😢
209,😢😢😢😢
210,😢😢
211,😢Paz a su alma
212,Da lastima que una persona con sueños por delante se vaya así de manera inesperada
213,"Debería estar presa la persona de recursos humanos, esa niña pidiendo ayuda y ellos negándole atención, si hubiese sido a la hija del dueño que acosan, lo botan y lo trancan"
214,😢😢😢😢
215,Caramba 💔
216,😢
217,😢😢😢
218,"El sueño de su familia, y nosotros 🇩🇴es que la justicia haga su trabajo, y pague, o paguen, los que las mataron."
219,Y nadie sabe nada aún
220,😢
221,😢😢😢
222,"Alguien asesore y les meta una mega demanda a la empresa, al menos que después muerta su familia quede tranquila en lo económico"
